# Solving BTE+PE
# it.	Curr. [Acm^-2]	nE [cm^-2]	nD [cm^-2]	q [cm^-2]	dj [Acm^-2]	max(du) [eV]	max(pFun) [ev]	max(rho) [C/cm^3]

361  	    1.27e+04	1.66e-02	1.65e-02	-4.73e-08	1.01e+02	6.44e-05	1.25e-05	2.04e-06	93
362  	    1.26e+04	1.66e-02	1.65e-02	-4.73e-08	1.01e+02	6.41e-05	1.25e-05	2.04e-06	94
363  	    1.25e+04	1.66e-02	1.65e-02	-4.74e-08	1.00e+02	6.38e-05	1.25e-05	2.03e-06	95
364  	    1.24e+04	1.66e-02	1.65e-02	-4.75e-08	9.96e+01	6.36e-05	1.25e-05	2.03e-06	96
365  	    1.23e+04	1.66e-02	1.65e-02	-4.76e-08	9.90e+01	6.33e-05	1.24e-05	2.03e-06	97
# Final current = 1.23e+04 [Acm^-2]
# N = 5.94e+14 [cm^-2]
# RUN TIME: 2.55e+00 min, 

# tR = 1E-10
389  	    1.16e+04	1.66e-02	1.65e-02	-5.39e-08	1.01e+02	5.85e-05	1.20e-05	1.96e-06	115
390  	    1.15e+04	1.66e-02	1.65e-02	-5.39e-08	1.01e+02	5.83e-05	1.20e-05	1.96e-06	116
391  	    1.14e+04	1.66e-02	1.65e-02	-5.40e-08	1.00e+02	5.80e-05	1.20e-05	1.95e-06	117
392  	    1.13e+04	1.66e-02	1.65e-02	-5.41e-08	9.96e+01	5.78e-05	1.20e-05	1.95e-06	118
393  	    1.12e+04	1.66e-02	1.65e-02	-5.41e-08	9.90e+01	5.75e-05	1.19e-05	1.95e-06	119
# Final current = 1.12e+04 [Acm^-2]
# N = 5.94e+14 [cm^-2]
# RUN TIME: 2.73e+00 min

# tR = 1E-12
1132 	    4.55e+03	1.66e-02	1.65e-02	-8.31e-08	1.00e+02	2.44e-05	5.64e-06	9.19e-07	754
1133 	    4.54e+03	1.66e-02	1.65e-02	-8.31e-08	1.00e+02	2.44e-05	5.63e-06	9.18e-07	755
1134 	    4.53e+03	1.66e-02	1.65e-02	-8.31e-08	1.00e+02	2.44e-05	5.63e-06	9.18e-07	756
1135 	    4.52e+03	1.66e-02	1.65e-02	-8.32e-08	9.99e+01	2.43e-05	5.62e-06	9.17e-07	757
1136 	    4.51e+03	1.66e-02	1.65e-02	-8.32e-08	9.97e+01	2.43e-05	5.62e-06	9.16e-07	758
# Final current = 4.51e+03 [Acm^-2]
# N = 5.94e+14 [cm^-2]
# RUN TIME: 7.85e+00 min, 

# tM = 1E-10
356  	    1.25e+04	1.66e-02	1.65e-02	-4.78e-08	1.02e+02	6.58e-05	1.27e-05	2.06e-06	88
357  	    1.24e+04	1.66e-02	1.65e-02	-4.79e-08	1.01e+02	6.55e-05	1.26e-05	2.06e-06	89
358  	    1.23e+04	1.66e-02	1.65e-02	-4.79e-08	1.00e+02	6.52e-05	1.26e-05	2.06e-06	90
359  	    1.22e+04	1.66e-02	1.65e-02	-4.80e-08	9.98e+01	6.49e-05	1.26e-05	2.05e-06	91
